Signal Time,Game,Player,Market,Side,Line,Odds,Book,EV %,Hit Rate %,Num Games,Baba Lock?,Confirmation Books,Player ID,Event ID,Commence Time,Market Key,Resolved?,Actual Outcome,Actual Stat,Resolved Time,Notes
2026-03-01T17:44:30.451374-05:00,ORL Magic vs DET Pistons (6:10 PM EST),Ausar Thompson,Points,Under,9.5,100,HardRockBet,3.75,50.0,10,False,"FD at -122, DK at -115, ESPN at -125, Pinnacle at -121",56677826,4d40482f62b199752b8b264572ff8460,2026-03-01T23:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:44:45.517823-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Maxime Raynaud,Points,Under,13.5,-105,BetMGM,2.28,50.0,10,False,"FD at -125, DK at -118, ESPN at -130, Pinnacle at -132",1057390745,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:44:48.372836-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Maxime Raynaud,Points,Under,13.5,-105,HardRockBet,2.28,50.0,10,False,"FD at -125, DK at -118, ESPN at -130, Pinnacle at -132",1057390745,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:44:50.705257-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Maxime Raynaud,Points Rebounds,Under,22.5,-105,BetMGM,2.28,50.0,10,False,"FD at -125, DK at -127, ESPN at -125",1057390745,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:48:30.189685-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Klay Thompson,Points,Over,12.5,-102,Caesars,3.74,30.0,10,False,"FD at -125, DK at -122, ESPN at -110, Pinnacle at -115",443,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:11.860420-05:00,ORL Magic vs DET Pistons (6:10 PM EST),Tobias Harris,Rebounds,Under,5.5,-120,HardRockBet,5.19,30.0,10,False,"FD at -154, DK at -136, ESPN at -160, Pinnacle at -152",200,4d40482f62b199752b8b264572ff8460,2026-03-01T23:10:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:23.099612-05:00,ORL Magic vs DET Pistons (6:10 PM EST),Cade Cunningham,Rebounds Assists,Under,15.5,100,HardRockBet,3.75,20.0,10,False,"FD at -122, DK at -113, ESPN at -110",17896075,4d40482f62b199752b8b264572ff8460,2026-03-01T23:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:25.915939-05:00,ORL Magic vs DET Pistons (6:10 PM EST),Cade Cunningham,Rebounds Assists,Under,15.5,100,BetMGM,3.75,20.0,10,False,"FD at -122, DK at -113, ESPN at -110",17896075,4d40482f62b199752b8b264572ff8460,2026-03-01T23:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:40.220827-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Maxime Raynaud,Points Rebounds,Under,22.5,-105,BetMGM,3.27,50.0,10,False,"FD at -128, ESPN at -125",1057390745,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:50.175653-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Devin Carter,Points Rebounds Assists,Under,18.5,-105,BetMGM,3.27,30.0,10,False,"FD at -128, DK at -119",1028025242,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points_rebounds_assists,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:52:53.825344-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Devin Carter,Points Rebounds Assists,Under,18.5,-105,HardRockBet,3.27,30.0,10,False,"FD at -128, DK at -119",1028025242,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points_rebounds_assists,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:15.947657-05:00,ORL Magic vs DET Pistons (6:11 PM EST),Ausar Thompson,Points,Under,9.5,100,HardRockBet,4.77,50.0,10,False,"FD at -125, DK at -111, ESPN at -125, Pinnacle at -121",56677826,4d40482f62b199752b8b264572ff8460,2026-03-01T23:11:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:22.195078-05:00,ORL Magic vs DET Pistons (6:11 PM EST),Tobias Harris,Rebounds,Under,5.5,-120,HardRockBet,5.41,30.0,10,False,"FD at -156, DK at -136, ESPN at -160, Pinnacle at -154",200,4d40482f62b199752b8b264572ff8460,2026-03-01T23:11:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T05:12:02.081226+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:30.045946-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Nikola Vucevic,Points,Over,11.5,102,DraftKings,4.79,40.0,10,False,"FD at -122, DK at 102, ESPN at -125, Pinnacle at -131",460,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:38.081562-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Payton Pritchard,Assists,Under,5.5,-115,BetMGM,3.64,40.0,10,False,"FD at -142, ESPN at -140",3547276,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:44.477691-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Klay Thompson,Points,Over,12.5,-102,Caesars,2.73,30.0,10,False,"FD at -122, DK at -122, ESPN at -105, Pinnacle at -115",443,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
